model,seed,cohort,roc_auc,pr_auc,accuracy,f1,sensitivity,specificity,brier_score,ece
Patient DP (sigma=0.05),123,CGGA_external_val,0.8346883468834688,0.9588564201722787,0.86,0.9156626506024096,0.926829268292683,0.5555555555555556,0.12192482087707153,0.1409096420102316
Client DP (sigma=0.05),123,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.00036592311755957605,0.011083135673799129
Client DP (sigma=0.05),123,UPenn_external_test,0.7197712418300655,0.9600526609446511,0.7894736842105263,0.8787878787878788,0.8529411764705882,0.25,0.17465011211968065,0.16879565743207675
Client DP (sigma=0.05),123,CGGA_external_val,0.8292682926829269,0.9550538952350802,0.86,0.9176470588235294,0.9512195121951219,0.4444444444444444,0.1160283956285901,0.12101871287445651
Patient DP (sigma=0.10),123,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.00036592311755957605,0.011083135673799129
Patient DP (sigma=0.10),123,UPenn_external_test,0.7197712418300655,0.9600526609446511,0.7894736842105263,0.8787878787878788,0.8529411764705882,0.25,0.17465011211968065,0.16879565743207675
Patient DP (sigma=0.10),123,CGGA_external_val,0.8292682926829269,0.9550538952350802,0.86,0.9176470588235294,0.9512195121951219,0.4444444444444444,0.1160283956285901,0.12101871287445651
Client DP (sigma=0.10),123,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0016133024817653113,0.022100792357536557
Client DP (sigma=0.10),123,UPenn_external_test,0.7361111111111112,0.964191858236843,0.8157894736842105,0.8955223880597015,0.8823529411764706,0.25,0.16315455534337203,0.16375590012604863
Client DP (sigma=0.10),123,CGGA_external_val,0.8157181571815718,0.9500569491796165,0.86,0.9176470588235294,0.9512195121951219,0.4444444444444444,0.10911108249760866,0.14606749151810772
Patient DP (sigma=0.20),123,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0016133024817653113,0.022100792357536557
Patient DP (sigma=0.20),123,UPenn_external_test,0.7361111111111112,0.964191858236843,0.8157894736842105,0.8955223880597015,0.8823529411764706,0.25,0.16315455534337203,0.16375590012604863
Patient DP (sigma=0.20),123,CGGA_external_val,0.8157181571815718,0.9500569491796165,0.86,0.9176470588235294,0.9512195121951219,0.4444444444444444,0.10911108249760866,0.14606749151810772
Client DP (sigma=0.20),123,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.020240471435260206,0.09292224855725621
Client DP (sigma=0.20),123,UPenn_external_test,0.7132352941176471,0.9586885076898963,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.16209572957312207,0.1372156032325998
Client DP (sigma=0.20),123,CGGA_external_val,0.7533875338753387,0.9308737958909975,0.74,0.8354430379746836,0.8048780487804879,0.4444444444444444,0.1766594287107913,0.1871157259487793
Centralized LR,2024,TCGA_test,0.999054820415879,0.9997649755066367,0.9826086956521739,0.989010989010989,0.9782608695652174,1.0,0.02855219290585018,0.10773383020780637
Centralized LR,2024,UPenn_external_test,0.7794117647058825,0.9708273456384311,0.7894736842105263,0.875,0.8235294117647058,0.5,0.16174794543000579,0.1822303732678345
Centralized LR,2024,CGGA_external_val,0.9186991869918699,0.9772101987952305,0.9,0.9367088607594937,0.9024390243902439,0.8888888888888888,0.09130391601943379,0.1340277679078798
Centralized RF,2024,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.03507979669625682,0.15294566455876038
Centralized RF,2024,UPenn_external_test,0.7802287581699348,0.9693475188125014,0.7894736842105263,0.8775510204081632,0.8431372549019608,0.3333333333333333,0.14482519106713765,0.18880380133242125
Centralized RF,2024,CGGA_external_val,0.9214092140921409,0.9753391907683242,0.94,0.9629629629629629,0.9512195121951219,0.8888888888888888,0.0883422018643079,0.16613611874196094
Centralized XGBoost,2024,TCGA_test,1.0,1.0,0.991304347826087,0.994535519125683,0.9891304347826086,1.0,0.023792097366191985,0.1085467147357438
Centralized XGBoost,2024,UPenn_external_test,0.7426470588235294,0.9614260798645179,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.14531515055653035,0.14161875958374723
Centralized XGBoost,2024,CGGA_external_val,0.9078590785907859,0.9705020114407736,0.92,0.9512195121951219,0.9512195121951219,0.7777777777777778,0.07771279888101759,0.08779583036899569
Centralized MLP,2024,TCGA_test,0.9985822306238186,0.999645529735017,0.9739130434782609,0.9834254143646409,0.967391304347826,1.0,0.02726345312179981,0.08552445622672558
Centralized MLP,2024,UPenn_external_test,0.6936274509803922,0.9524808203967314,0.7982456140350878,0.883248730964467,0.8529411764705882,0.3333333333333333,0.16895756369765577,0.1486894590363464
Centralized MLP,2024,CGGA_external_val,0.907859078590786,0.9734786618937813,0.9,0.9382716049382716,0.926829268292683,0.7777777777777778,0.07508836570589897,0.08000973827656852
FedAvg MLP,2024,TCGA_test,1.0,1.0,1.0,1.0,1.0,1.0,0.0027637366198798212,0.018310419331748866
